technical_know_how,personal_traits,social_characteristics,motivating_factors
Bully,Impatient,Reinforcement available,"Enhancing self-
worth"
Skilful,Immoral/ Unethical,Broken homes/families,"Greed (easy, quick money)"
Skilful,Risk-taker,Intolerance to diversity of opinion,Risk tolerance
Well-trained,Loner,Anti-social,Disregard for law
Strategic planners,Psychiatric conditions,"Insufficient social
support",Manipulate others
Well-trained,Coercive,Anti-establishment,Anger
Well-networked,Incited,Broken homes/families,Need to Control others
Strategic planners,Loner,Marginalised,Emotions
Creative,Insensitive,Mass-destruction,Manipulate others
Resourceful,Aggressive,Rebellious,Manipulate others
Focussed,Conviction in Violence,Need to outsmart others,"Greed (easy, quick money)"
Goal oriented,Secretive,Unlawful,Monetary Gain
Goal oriented,Secretive,Inferiority complex,Plain boredom
Smart,Determined,Social dissatisfaction,Plain boredom
Goal oriented,Coward,Anti-establishment,Emotions
Goal oriented,Aggressive,Social dissatisfaction,Intolerance
Creative,Control freak,Rebellious,Political support
Skilful,Control freak,Social dissatisfaction,"Religious
fundamentalism"
Skilful,"Psychologically
Deviant",Social dissatisfaction,Anger
Strategic planners,Insensitive,Rebellious,No fear of punishment
Well-trained,Impatient,Social dissatisfaction,Curiosity
Well-organized,Loner,Broken homes/families,"Religious
fundamentalism"
Well-networked,Strong-willed,Intolerance to diversity of opinion,Experimentation
Opportunists,Inhuman Psyche,Reinforcement available,Curiosity
Strategic planners,Secretive,Brain-washed,"Greed (easy, quick money)"
Resourceful,Immoral/ Unethical,Reinforcement available,Monetary Gain
Well-trained,Loner,"Insufficient social
support","Concealed
existence"
Well trained,Vengeful,Rebellious,Curiosity
Skilful,Identity crisis,Low self-worth,Curiosity
Sharp (intelligent),Emotional,"Insufficient social
support","Religious
fundamentalism"
Well trained,Insensitive,Broken homes/families,Revenge
Well trained,Vengeful,Anti-state,"Religious
fundamentalism"
Sharp (intelligent),Selfish,Inferiority complex,Political beliefs
Skilful,Control freak,Marginalised,"Enhancing self-
worth"
Opportunists,Aggressive,Marginalised,Political support
Skilful,Selfish,Inferiority complex,Need to Control others
Strategic planners,Insensitive,Inferiority complex,Political beliefs
Skilful,Control freak,Socially inept,"Concealed
existence"
Opportunists,Loner,Lack Social skills,Experimentation
Well-organized,Emotional,Anti-social,Political beliefs
Well-networked,Determined,"Insufficient social
support",Plain boredom
Well trained,Psychiatric conditions,Low self-worth,Disregard for law
Sharp (intelligent),Incited,Marginalised,Political beliefs
Strategic planners,Control freak,Rationalization,Anger
Smart,Aggressive,"Insufficient social
support",Need to Control others
Focussed,Insensitive,Anti-state,Political beliefs
Focussed,Emotional,Radical,"Greed (easy, quick money)"
Creative,Emotional,Reinforcement available,"Enhancing self-
worth"
Skilful,Strong-willed,Anti-state,"Enhancing self-
worth"
Well-trained,Chaotic state of mind,Rationalization,"Enhancing self-
worth"
Well-networked,Loner,Anti-social,Political support
Sharp (intelligent),Insensitive,Anti-state,Political support
Well-networked,Loner,Radical,"Concealed
existence"
Skilful,Impatient,Broken homes/families,Revenge
Opportunists,Insensitive,Anti-establishment,Curiosity
Well-trained,Gullible,Rebellious,No fear of punishment
Bully,Coward,Brain-washed,Plain boredom
Smart,Vengeful,Rebellious,Experimentation
Resourceful,Control freak,Rationalization,Emotions
Skilful,Insensitive,Rationalization,Risk tolerance
Smart,Determined,Unlawful,Thrill-seeking
Well-trained,Chaotic state of mind,Need to outsmart others,Revenge
Well-trained,Risk-taker,Unlawful,Lust
Well-trained,Chaotic state of mind,Low self-worth,No fear of punishment
Well-trained,Insensitive,Reinforcement available,No fear of punishment
Goal oriented,Insensitive,Low self-worth,Intolerance
Resourceful,Aggressive,Anti-establishment,"Greed (easy, quick money)"
Bully,Secretive,Need to outsmart others,Thrill-seeking
Resourceful,Immoral/ Unethical,Socially inept,Intolerance
Focussed,Coward,Radical,Risk tolerance
Well-trained,Coercive,Intolerance to diversity of opinion,Experimentation
Sharp (intelligent),Selfish,Lack Social skills,Anger
Well-organized,Coercive,Mass-destruction,"Religious
fundamentalism"
Goal oriented,Determined,Misguided,No fear of punishment
Focussed,Selfish,Mass-destruction,Anger
Well-networked,Gullible,Anti-social,No fear of punishment
Skilful,Incited,Intolerance to diversity of opinion,Emotions
Creative,Aggressive,Radical,Revenge
Smart,Psychiatric conditions,Marginalised,Curiosity
Skilful,Identity crisis,Broken homes/families,Revenge
Smart,"Psychologically
Deviant",Misguided,"Religious
fundamentalism"
Bully,Immoral/ Unethical,Marginalised,Anger
Strategic planners,Impatient,Rebellious,Plain boredom
Smart,Gullible,Misguided,"Enhancing self-
worth"
Focussed,Insensitive,Mass-destruction,Monetary Gain
Resourceful,Loner,Low self-worth,Need to Control others
Strategic planners,Coercive,Social dissatisfaction,"Greed (easy, quick money)"
Strategic planners,Conviction in Violence,Anti-state,"Greed (easy, quick money)"
Bully,Strong-willed,Anti-social,Thrill-seeking
Well-networked,Risk-taker,"Insufficient social
support",Plain boredom
Bully,Psychiatric conditions,Anti-social,Emotions
Strategic planners,Identity crisis,Socially inept,No fear of punishment
Well-trained,Identity crisis,Intolerance to diversity of opinion,"Enhancing self-
worth"
Resourceful,Determined,Intolerance to diversity of opinion,Risk tolerance
Well-networked,Impatient,Mass-destruction,Need to Control others
Smart,Identity crisis,Misguided,Curiosity
Sharp (intelligent),Psychiatric conditions,Radical,"Religious
fundamentalism"
Well-organized,Secretive,Intolerance to diversity of opinion,Monetary Gain
Well-trained,Inhuman Psyche,"Insufficient social
support","Concealed
existence"
Strategic planners,Coercive,Rationalization,Anger
Strategic planners,Coward,"Insufficient social
support",Intolerance
Strategic planners,Insensitive,Anti-state,Disregard for law
Skilful,Incited,Anti-establishment,Intolerance
Creative,"Psychologically
Deviant",Lack Social skills,Political beliefs
Sharp (intelligent),Immoral/ Unethical,Socially inept,"Greed (easy, quick money)"
Well-organized,Insensitive,Mass-destruction,Plain boredom
Well-networked,Conviction in Violence,Anti-social,Political beliefs
Goal oriented,Risk-taker,Rationalization,Political support
Resourceful,Insensitive,Low self-worth,Anger
Smart,Loner,Rationalization,Revenge
Opportunists,Coercive,Marginalised,Need to Control others
Opportunists,Risk-taker,Need to outsmart others,Political beliefs
Smart,Passionate,Inferiority complex,No fear of punishment
Sharp (intelligent),Vengeful,Anti-establishment,"Concealed
existence"
Creative,Gullible,Marginalised,Thrill-seeking
Well-trained,Chaotic state of mind,Inferiority complex,Political beliefs
Skilful,Coercive,Marginalised,Emotions
Strategic planners,Insensitive,Brain-washed,"Religious
fundamentalism"
Well-networked,Chaotic state of mind,Anti-social,Curiosity
Resourceful,Control freak,Low self-worth,Manipulate others
Opportunists,Identity crisis,Lack Social skills,Political support
Opportunists,Gullible,Need to outsmart others,Thrill-seeking
Sharp (intelligent),Secretive,Brain-washed,Anger
Sharp (intelligent),Selfish,Anti-establishment,Monetary Gain
Sharp (intelligent),Conviction in Violence,Rationalization,Thrill-seeking
Focussed,Psychiatric conditions,Lack Social skills,"Enhancing self-
worth"
Opportunists,"Psychologically
Deviant",Rationalization,"Religious
fundamentalism"
Smart,Secretive,Marginalised,Plain boredom
Strategic planners,Strong-willed,Reinforcement available,Lust
Resourceful,Impatient,Need to outsmart others,Thrill-seeking
Well-organized,Chaotic state of mind,Reinforcement available,Plain boredom
Opportunists,Conviction in Violence,Reinforcement available,No fear of punishment
Creative,Determined,Mass-destruction,Need to Control others
Sharp (intelligent),Coward,Marginalised,Risk tolerance
Well-networked,Immoral/ Unethical,Intolerance to diversity of opinion,"Religious
fundamentalism"
Opportunists,Emotional,Social dissatisfaction,Need to Control others
Smart,Risk-taker,Anti-establishment,"Enhancing self-
worth"
Focussed,Incited,Rationalization,Political support
Opportunists,Vengeful,Intolerance to diversity of opinion,Manipulate others
Smart,Inhuman Psyche,"Insufficient social
support",Thrill-seeking
Focussed,Insensitive,Misguided,Lust
Bully,Vengeful,Misguided,"Religious
fundamentalism"
Well-networked,Aggressive,Inferiority complex,Emotions
Well-networked,Emotional,Unlawful,Political beliefs
Resourceful,Inhuman Psyche,Low self-worth,Plain boredom
Bully,Risk-taker,Rebellious,"Greed (easy, quick money)"
Well-trained,Coward,"Insufficient social
support","Concealed
existence"
Resourceful,Coward,Social dissatisfaction,Anger
Bully,Insensitive,Misguided,Plain boredom
Bully,Gullible,Broken homes/families,"Enhancing self-
worth"
Well trained,Vengeful,Mass-destruction,Need to Control others
Opportunists,Coercive,Socially inept,Intolerance
Skilful,Loner,Socially inept,Risk tolerance
Sharp (intelligent),Vengeful,Anti-establishment,No fear of punishment
Well-networked,Coward,Socially inept,Curiosity
Bully,Selfish,Marginalised,Anger
Well-networked,Conviction in Violence,Mass-destruction,Experimentation
Goal oriented,Identity crisis,Need to outsmart others,"Enhancing self-
worth"
Well trained,Gullible,Rationalization,Need to Control others
Resourceful,Impatient,Anti-social,Revenge
Sharp (intelligent),Insensitive,Broken homes/families,"Concealed
existence"
Strategic planners,Chaotic state of mind,Mass-destruction,Plain boredom
Opportunists,Identity crisis,"Insufficient social
support",Monetary Gain
Well-organized,Insensitive,Need to outsmart others,"Greed (easy, quick money)"
Goal oriented,Identity crisis,Marginalised,Lust
Opportunists,"Psychologically
Deviant",Intolerance to diversity of opinion,"Concealed
existence"
Strategic planners,"Psychologically
Deviant",Rationalization,Plain boredom
Strategic planners,Passionate,Mass-destruction,"Greed (easy, quick money)"
Well-organized,Incited,"Insufficient social
support",Curiosity
Opportunists,Emotional,Brain-washed,"Greed (easy, quick money)"
Opportunists,Emotional,"Insufficient social
support",Intolerance
Well-trained,Emotional,Social dissatisfaction,Risk tolerance
Bully,Emotional,Low self-worth,Curiosity
Strategic planners,Incited,Broken homes/families,Anger
Creative,Insensitive,Unlawful,Intolerance
Focussed,Determined,"Insufficient social
support",Political beliefs
Bully,Identity crisis,Reinforcement available,"Concealed
existence"
Strategic planners,Immoral/ Unethical,Need to outsmart others,Lust
Strategic planners,Psychiatric conditions,Social dissatisfaction,"Greed (easy, quick money)"
Skilful,Psychiatric conditions,Social dissatisfaction,Monetary Gain
Well-trained,Chaotic state of mind,Anti-establishment,"Concealed
existence"
Skilful,Conviction in Violence,Marginalised,Political support
Creative,Insensitive,Broken homes/families,"Religious
fundamentalism"
Well-networked,Determined,Marginalised,Curiosity
Resourceful,Inhuman Psyche,Rationalization,Experimentation
Focussed,Risk-taker,"Insufficient social
support",Monetary Gain
Goal oriented,Aggressive,Intolerance to diversity of opinion,"Religious
fundamentalism"
Opportunists,Secretive,Low self-worth,Need to Control others
Goal oriented,Vengeful,Low self-worth,Experimentation
Opportunists,Coercive,Misguided,Curiosity
Skilful,Risk-taker,Broken homes/families,Experimentation
Creative,Chaotic state of mind,Reinforcement available,"Enhancing self-
worth"
Opportunists,Psychiatric conditions,Social dissatisfaction,Revenge
Well-trained,Secretive,Unlawful,"Enhancing self-
worth"
Well trained,Strong-willed,Low self-worth,Manipulate others
Well trained,Strong-willed,Broken homes/families,Political support
Skilful,Vengeful,Broken homes/families,"Enhancing self-
worth"
Well-networked,Strong-willed,Anti-state,"Enhancing self-
worth"
Smart,Immoral/ Unethical,Social dissatisfaction,Anger
Well-networked,Aggressive,Brain-washed,"Greed (easy, quick money)"
Smart,"Psychologically
Deviant",Rebellious,Revenge
Focussed,Psychiatric conditions,Low self-worth,Disregard for law
Goal oriented,Passionate,Intolerance to diversity of opinion,Lust
Bully,Secretive,Rationalization,Experimentation
Bully,Psychiatric conditions,Social dissatisfaction,Thrill-seeking
Opportunists,Insensitive,Marginalised,Anger
Focussed,Passionate,Brain-washed,Risk tolerance
Smart,Immoral/ Unethical,Brain-washed,Manipulate others
Skilful,Passionate,Brain-washed,Revenge
Skilful,Emotional,Intolerance to diversity of opinion,Need to Control others
Strategic planners,Coercive,Lack Social skills,Lust
Focussed,Insensitive,Intolerance to diversity of opinion,Plain boredom
Well-trained,Determined,Anti-social,Plain boredom
Well-organized,Secretive,Anti-establishment,"Greed (easy, quick money)"
Focussed,Strong-willed,Broken homes/families,Disregard for law
Well-organized,Secretive,Lack Social skills,"Enhancing self-
worth"
Well trained,Coercive,"Insufficient social
support",Intolerance
Skilful,Impatient,Marginalised,"Religious
fundamentalism"
Well trained,Loner,Socially inept,Curiosity
Strategic planners,Control freak,Rationalization,"Religious
fundamentalism"
Strategic planners,Aggressive,Brain-washed,Political beliefs
Goal oriented,Strong-willed,Need to outsmart others,Experimentation
Strategic planners,Passionate,Inferiority complex,Revenge
Well-organized,Secretive,Lack Social skills,Need to Control others
Sharp (intelligent),Loner,Low self-worth,Plain boredom
Creative,Risk-taker,Broken homes/families,Anger
Goal oriented,Impatient,Socially inept,Political support
Well-trained,Inhuman Psyche,Marginalised,No fear of punishment
Focussed,Chaotic state of mind,Lack Social skills,Anger
Focussed,Insensitive,Need to outsmart others,Intolerance
Sharp (intelligent),Incited,Unlawful,Political beliefs
Smart,Psychiatric conditions,Mass-destruction,Political support
Focussed,Selfish,"Insufficient social
support",Revenge
Goal oriented,Loner,Social dissatisfaction,Experimentation
Smart,Secretive,Need to outsmart others,Disregard for law
Focussed,Emotional,Lack Social skills,Anger
Sharp (intelligent),Aggressive,Anti-establishment,Anger
Strategic planners,Passionate,Low self-worth,"Enhancing self-
worth"
Sharp (intelligent),Strong-willed,Intolerance to diversity of opinion,Thrill-seeking
Skilful,Loner,Rebellious,Anger
Smart,Insensitive,Unlawful,Curiosity
Bully,"Psychologically
Deviant",Intolerance to diversity of opinion,Risk tolerance
Bully,Coward,Broken homes/families,Need to Control others
Strategic planners,Risk-taker,Inferiority complex,No fear of punishment
Well-networked,Incited,Broken homes/families,Thrill-seeking
Focussed,Gullible,Rebellious,No fear of punishment
Smart,Insensitive,Intolerance to diversity of opinion,Political beliefs
Smart,Vengeful,Rebellious,Political beliefs
Well-trained,Selfish,Brain-washed,No fear of punishment
Resourceful,Control freak,Low self-worth,Manipulate others
Sharp (intelligent),Risk-taker,Radical,Emotions
Well trained,Loner,Reinforcement available,"Religious
fundamentalism"
Focussed,Coward,Intolerance to diversity of opinion,Anger
Resourceful,Conviction in Violence,Socially inept,Experimentation
Skilful,Gullible,Unlawful,Monetary Gain
Well trained,"Psychologically
Deviant",Need to outsmart others,Emotions
Resourceful,Insensitive,Reinforcement available,Manipulate others
Well trained,Coercive,Broken homes/families,"Religious
fundamentalism"
Well-networked,Risk-taker,Marginalised,Need to Control others
Well trained,Conviction in Violence,Marginalised,Manipulate others
Focussed,Insensitive,Brain-washed,Risk tolerance
Sharp (intelligent),Risk-taker,Brain-washed,"Greed (easy, quick money)"
Well-trained,Secretive,Rationalization,Lust
Well trained,Psychiatric conditions,Rationalization,No fear of punishment
Well-trained,Coercive,Radical,Intolerance
Well trained,Risk-taker,Anti-state,Anger
Well-organized,Identity crisis,Social dissatisfaction,Lust
Goal oriented,Determined,Rationalization,Curiosity
Opportunists,Chaotic state of mind,Anti-social,Experimentation
Well-trained,Gullible,Marginalised,Need to Control others
Smart,Incited,Anti-establishment,Emotions
Goal oriented,Insensitive,Rationalization,"Greed (easy, quick money)"
Smart,Immoral/ Unethical,Brain-washed,No fear of punishment
Creative,Gullible,Anti-establishment,Need to Control others
Sharp (intelligent),Insensitive,Need to outsmart others,"Religious
fundamentalism"
Skilful,Identity crisis,Radical,"Greed (easy, quick money)"
Sharp (intelligent),Gullible,Reinforcement available,Curiosity
Well-trained,Chaotic state of mind,Reinforcement available,No fear of punishment
Sharp (intelligent),Control freak,Rationalization,Need to Control others
Strategic planners,Psychiatric conditions,Mass-destruction,Risk tolerance
Smart,Loner,Mass-destruction,Political support
Well-trained,Vengeful,Broken homes/families,"Religious
fundamentalism"
Bully,Identity crisis,Radical,Political support
Goal oriented,Inhuman Psyche,Anti-social,Disregard for law
Resourceful,Risk-taker,Lack Social skills,"Greed (easy, quick money)"
Strategic planners,Impatient,Anti-social,Disregard for law
Opportunists,Impatient,Need to outsmart others,Anger
Strategic planners,Conviction in Violence,Inferiority complex,Monetary Gain
Skilful,Insensitive,Marginalised,Experimentation
Well trained,Impatient,Socially inept,Disregard for law
Strategic planners,Conviction in Violence,Broken homes/families,Thrill-seeking
Opportunists,Gullible,Need to outsmart others,"Greed (easy, quick money)"
Focussed,Selfish,Reinforcement available,Experimentation
Sharp (intelligent),Chaotic state of mind,Broken homes/families,Emotions
Skilful,Inhuman Psyche,Intolerance to diversity of opinion,No fear of punishment
Strategic planners,Immoral/ Unethical,Rationalization,Lust
Well-networked,Aggressive,Anti-social,Lust
Goal oriented,Risk-taker,Inferiority complex,Curiosity
Well-trained,Coercive,"Insufficient social
support",Lust
Creative,Incited,Misguided,Revenge
Focussed,Selfish,Unlawful,Revenge
Skilful,Risk-taker,Reinforcement available,Political beliefs
Focussed,Gullible,Need to outsmart others,"Greed (easy, quick money)"
Creative,Strong-willed,Anti-state,Risk tolerance
Creative,Immoral/ Unethical,Anti-establishment,Plain boredom
Well-networked,Emotional,Social dissatisfaction,Manipulate others
Skilful,Insensitive,Low self-worth,Disregard for law
Focussed,Coercive,Rebellious,Disregard for law
Bully,Insensitive,Unlawful,Anger
Focussed,Impatient,Lack Social skills,Need to Control others
Bully,Control freak,Mass-destruction,Political beliefs
Creative,Psychiatric conditions,Unlawful,Revenge
Resourceful,Coercive,Reinforcement available,Need to Control others
Opportunists,Insensitive,Intolerance to diversity of opinion,Risk tolerance
Sharp (intelligent),Incited,Broken homes/families,Experimentation
Well-networked,Conviction in Violence,Mass-destruction,Political support
Well-trained,Psychiatric conditions,Rebellious,"Concealed
existence"
Creative,"Psychologically
Deviant",Anti-social,Anger
Bully,Immoral/ Unethical,Social dissatisfaction,Anger
Focussed,Coward,Anti-social,Plain boredom
Sharp (intelligent),Secretive,Rebellious,Experimentation
Well-networked,Strong-willed,Anti-social,Risk tolerance
Sharp (intelligent),Gullible,Reinforcement available,"Greed (easy, quick money)"
Opportunists,Emotional,Broken homes/families,Political support
Skilful,Incited,Anti-social,"Greed (easy, quick money)"
Well-networked,Passionate,Lack Social skills,"Enhancing self-
worth"
Well-trained,Inhuman Psyche,Unlawful,Risk tolerance
Creative,Determined,Anti-establishment,Political beliefs
Smart,Passionate,Socially inept,Thrill-seeking
Goal oriented,Determined,Socially inept,Political beliefs
Bully,Coercive,Radical,Political beliefs
Well-trained,Aggressive,Unlawful,No fear of punishment
Goal oriented,Gullible,Low self-worth,"Concealed
existence"
Sharp (intelligent),Strong-willed,Lack Social skills,Political support
Bully,Coward,Rebellious,Revenge
Skilful,Conviction in Violence,"Insufficient social
support",Experimentation
Goal oriented,Identity crisis,"Insufficient social
support",Curiosity
Well-trained,Selfish,Brain-washed,Monetary Gain
Strategic planners,Identity crisis,Anti-social,Experimentation
Well-networked,Control freak,Mass-destruction,Plain boredom
Creative,Secretive,Mass-destruction,No fear of punishment
Goal oriented,Conviction in Violence,Anti-social,Disregard for law
Opportunists,Incited,Rationalization,Experimentation
Creative,Gullible,Rationalization,"Concealed
existence"
Well-trained,Gullible,Need to outsmart others,"Religious
fundamentalism"
Well-networked,Emotional,Anti-social,Thrill-seeking
Strategic planners,Inhuman Psyche,Rebellious,Manipulate others
Well-networked,Aggressive,Intolerance to diversity of opinion,"Enhancing self-
worth"
Sharp (intelligent),Vengeful,Unlawful,Revenge
Well-networked,Passionate,Reinforcement available,"Greed (easy, quick money)"
Goal oriented,Insensitive,Anti-state,"Greed (easy, quick money)"
Well-trained,Coercive,Anti-social,Lust
Skilful,Immoral/ Unethical,Rationalization,Thrill-seeking
Resourceful,Control freak,Anti-social,Manipulate others
Well-networked,Gullible,Brain-washed,Thrill-seeking
Goal oriented,Chaotic state of mind,Rebellious,Risk tolerance
Creative,Aggressive,Radical,Lust
Creative,Insensitive,Inferiority complex,No fear of punishment
Well trained,Impatient,Rationalization,Need to Control others
Well-trained,"Psychologically
Deviant",Lack Social skills,Thrill-seeking
Resourceful,Identity crisis,Misguided,"Religious
fundamentalism"
Resourceful,Aggressive,Misguided,Risk tolerance
Smart,Immoral/ Unethical,Low self-worth,Revenge
Goal oriented,Risk-taker,Inferiority complex,Plain boredom
Opportunists,Secretive,Anti-state,Revenge
Well-networked,Coercive,Misguided,Intolerance
Well-networked,Aggressive,Mass-destruction,Plain boredom
Smart,Gullible,Low self-worth,Intolerance
Focussed,Selfish,Mass-destruction,"Enhancing self-
worth"
Creative,Control freak,Unlawful,No fear of punishment
Well-networked,Vengeful,Brain-washed,Lust
Goal oriented,Strong-willed,Broken homes/families,Disregard for law
Well trained,Selfish,Reinforcement available,"Religious
fundamentalism"
Creative,Insensitive,Rebellious,No fear of punishment
Resourceful,Incited,Brain-washed,Political beliefs
Bully,Loner,Anti-establishment,No fear of punishment
Bully,Strong-willed,Anti-establishment,Plain boredom
Opportunists,Insensitive,Unlawful,"Religious
fundamentalism"
Well-organized,Vengeful,Misguided,"Concealed
existence"
Sharp (intelligent),Immoral/ Unethical,Broken homes/families,Experimentation
Strategic planners,Incited,Mass-destruction,Political support
Smart,Identity crisis,Social dissatisfaction,Anger
Strategic planners,Gullible,Rationalization,Political beliefs
Smart,Incited,Broken homes/families,Political beliefs
Strategic planners,Impatient,Rebellious,No fear of punishment
Focussed,Chaotic state of mind,Anti-social,Anger
Smart,Insensitive,Mass-destruction,Lust
Well trained,Insensitive,"Insufficient social
support","Religious
fundamentalism"
Well trained,Insensitive,Lack Social skills,Curiosity
Well-trained,Identity crisis,Anti-establishment,"Enhancing self-
worth"
Resourceful,Chaotic state of mind,Inferiority complex,"Greed (easy, quick money)"
Well-networked,Risk-taker,Anti-establishment,Anger
Resourceful,Impatient,Marginalised,Lust
Bully,Loner,Mass-destruction,Plain boredom
Creative,Risk-taker,Mass-destruction,Risk tolerance
Well-trained,Identity crisis,Lack Social skills,Curiosity
Skilful,Coward,Anti-social,Intolerance
Smart,Conviction in Violence,Broken homes/families,Emotions
Resourceful,Coward,Need to outsmart others,"Greed (easy, quick money)"
Bully,Inhuman Psyche,Misguided,Manipulate others
Well-networked,Gullible,Low self-worth,Monetary Gain
Sharp (intelligent),Coward,Socially inept,Thrill-seeking
Creative,Vengeful,Unlawful,"Greed (easy, quick money)"
Well-networked,Incited,"Insufficient social
support",Intolerance
Focussed,Psychiatric conditions,Mass-destruction,Risk tolerance
Well trained,Immoral/ Unethical,Misguided,"Enhancing self-
worth"
Goal oriented,Identity crisis,Anti-establishment,Revenge
Well trained,Risk-taker,Rationalization,Revenge
Well-trained,Identity crisis,Marginalised,Experimentation
Sharp (intelligent),Loner,Unlawful,Manipulate others
Creative,Aggressive,Reinforcement available,Manipulate others
Creative,Risk-taker,Reinforcement available,"Religious
fundamentalism"
Focussed,Incited,Reinforcement available,Lust
Creative,Psychiatric conditions,Socially inept,Political beliefs
Well-organized,Coward,Brain-washed,Revenge
Resourceful,Insensitive,Socially inept,"Concealed
existence"
Well-organized,Conviction in Violence,Anti-state,Intolerance
Skilful,Coward,Anti-social,Risk tolerance
Focussed,Impatient,Anti-state,Political support
Bully,Incited,Rationalization,Political beliefs
Skilful,Psychiatric conditions,Misguided,Emotions
Resourceful,Coward,Anti-state,"Greed (easy, quick money)"
Resourceful,Emotional,Social dissatisfaction,Experimentation
Goal oriented,Impatient,Radical,Intolerance
Opportunists,Risk-taker,Anti-state,Risk tolerance
Well-networked,Strong-willed,Inferiority complex,Emotions
Sharp (intelligent),Secretive,Socially inept,"Concealed
existence"
Resourceful,Determined,Socially inept,"Concealed
existence"
Skilful,Strong-willed,Misguided,Monetary Gain
Bully,Strong-willed,Intolerance to diversity of opinion,Political beliefs
Strategic planners,Incited,Socially inept,Monetary Gain
Opportunists,Incited,Anti-social,Curiosity
Well trained,Coward,"Insufficient social
support","Greed (easy, quick money)"
Strategic planners,Control freak,Reinforcement available,Political support
Creative,Control freak,Brain-washed,Political beliefs
Strategic planners,Identity crisis,Rebellious,Thrill-seeking
Well-networked,Loner,Inferiority complex,No fear of punishment
Opportunists,"Psychologically
Deviant",Lack Social skills,Manipulate others
Focussed,Chaotic state of mind,Need to outsmart others,No fear of punishment
Opportunists,Risk-taker,Misguided,Political beliefs
Well-networked,Selfish,Need to outsmart others,Disregard for law
Goal oriented,Impatient,Anti-state,"Religious
fundamentalism"
Creative,Immoral/ Unethical,Anti-state,Experimentation
Bully,Control freak,Anti-social,Thrill-seeking
Well trained,Vengeful,Anti-state,Revenge
Sharp (intelligent),Inhuman Psyche,Mass-destruction,Need to Control others
Well trained,Emotional,Anti-social,"Concealed
existence"
Bully,Impatient,Reinforcement available,Experimentation
Focussed,Psychiatric conditions,Rebellious,"Enhancing self-
worth"
Skilful,Secretive,Unlawful,"Greed (easy, quick money)"
Sharp (intelligent),Inhuman Psyche,Mass-destruction,"Concealed
existence"
Well-trained,Insensitive,Lack Social skills,Political support
Well trained,Gullible,Brain-washed,Emotions
Well-trained,Determined,Social dissatisfaction,Risk tolerance
Goal oriented,Gullible,Brain-washed,Experimentation
Creative,Impatient,Rationalization,"Enhancing self-
worth"
Well trained,Vengeful,Mass-destruction,No fear of punishment
Smart,Vengeful,"Insufficient social
support",Experimentation
Sharp (intelligent),Conviction in Violence,Mass-destruction,Manipulate others
Smart,Identity crisis,Intolerance to diversity of opinion,"Enhancing self-
worth"
Strategic planners,Vengeful,Anti-social,Risk tolerance
Bully,Aggressive,Rebellious,Plain boredom
Sharp (intelligent),Psychiatric conditions,Socially inept,Political support
Opportunists,Inhuman Psyche,Anti-state,Manipulate others
Well-networked,Control freak,Mass-destruction,Political support
Well trained,Coercive,Mass-destruction,Intolerance
Goal oriented,Insensitive,Rebellious,No fear of punishment
Skilful,Selfish,Radical,"Religious
fundamentalism"
Well-networked,Psychiatric conditions,Radical,"Religious
fundamentalism"
Goal oriented,Strong-willed,Need to outsmart others,Monetary Gain
Well-trained,Chaotic state of mind,Socially inept,Disregard for law
Skilful,Insensitive,Lack Social skills,Emotions
Focussed,Passionate,Mass-destruction,Risk tolerance
Skilful,Identity crisis,Broken homes/families,Curiosity
Smart,Chaotic state of mind,Need to outsmart others,Experimentation
Goal oriented,Insensitive,Anti-state,"Religious
fundamentalism"
Well trained,Impatient,Broken homes/families,Lust
Well-organized,Secretive,Anti-state,Political support
Well trained,Chaotic state of mind,Lack Social skills,Experimentation
Sharp (intelligent),Strong-willed,Mass-destruction,Thrill-seeking
Smart,Emotional,"Insufficient social
support","Concealed
existence"
Bully,Insensitive,Inferiority complex,Emotions
Well-networked,Insensitive,Rationalization,Political beliefs
Resourceful,Psychiatric conditions,Need to outsmart others,Revenge
Skilful,Secretive,"Insufficient social
support",Monetary Gain
Well-organized,Secretive,Brain-washed,Experimentation
Creative,Secretive,Marginalised,"Greed (easy, quick money)"
Well-networked,Identity crisis,Anti-state,"Enhancing self-
worth"
Strategic planners,Selfish,Inferiority complex,Political support
Well-organized,Coward,Socially inept,Experimentation
Focussed,Vengeful,Unlawful,Intolerance
Creative,Risk-taker,Misguided,Monetary Gain
Well trained,Identity crisis,Inferiority complex,Curiosity
Well trained,Conviction in Violence,Anti-social,Need to Control others
Well-trained,Coercive,Low self-worth,"Enhancing self-
worth"
Goal oriented,Control freak,"Insufficient social
support",Plain boredom
Well trained,Risk-taker,Rationalization,Thrill-seeking
Well trained,Strong-willed,Socially inept,"Greed (easy, quick money)"
Goal oriented,Aggressive,Need to outsmart others,Political beliefs
Well-trained,"Psychologically
Deviant",Mass-destruction,Lust
Well-organized,Risk-taker,Marginalised,Political beliefs
Goal oriented,Insensitive,Socially inept,"Concealed
existence"
Well-trained,Vengeful,Broken homes/families,No fear of punishment
Skilful,Passionate,Anti-social,"Greed (easy, quick money)"
Focussed,Impatient,Broken homes/families,No fear of punishment
Strategic planners,Immoral/ Unethical,Misguided,"Concealed
existence"
Sharp (intelligent),Coward,"Insufficient social
support",No fear of punishment
Resourceful,Determined,Mass-destruction,"Concealed
existence"
